question_id,image_width,image_height,image_tokens,multimodal_input_tokens,text_only_input_tokens,multimodal_processor_ms,text_only_processor_ms,multimodal_transfer_ms,text_only_transfer_ms,multimodal_forward_ms,text_only_forward_ms,vision_encoder_ms,multimodal_language_model_ms,text_only_language_model_ms,multimodal_other_ms,text_only_other_ms,visual_path_delta_ms,language_model_visual_token_delta_ms,multimodal_decode_ms,text_only_decode_ms,decode_visual_cache_delta_ms,multimodal_decode_ms_per_token,text_only_decode_ms_per_token
355,512,283,144,272,126,8.57308300328441,4.476208006963134,7.2254170081578195,2.432707988191396,1456.4200419990811,396.99604199267924,675.6642910186201,720.1253749954049,371.86770801781677,60.63037598505616,25.12833397486247,1059.424000006402,348.2576669775881,0.0,0.0,0.0,0.0,0.0
362,200,202,72,163,89,5.586915998719633,2.50416700146161,2.089874993544072,5.042125005275011,921.9092499988619,337.1157920046244,389.02404098189436,468.2704169827048,314.2080830002669,64.61479203426279,22.907709004357457,584.7934579942375,154.06233398243785,0.0,0.0,0.0,0.0,0.0
364,200,202,72,156,82,6.205582991242409,2.9967090231366456,2.4059999850578606,1.585707999765873,868.7534999917261,335.07749999989755,357.8245829849038,458.1570420123171,307.91316702379845,52.7718749945052,27.164332976099104,533.6759999918286,150.24387498851866,0.0,0.0,0.0,0.0,0.0
365,426,283,117,204,85,6.549791985889897,2.1562500041909516,1.9312079821247607,1.5150420076679438,1270.0600000098348,337.9477919952478,591.7438750038855,602.4501670035534,317.8566250135191,75.86595800239593,20.091166981728747,932.1122080145869,284.5935419900343,0.0,0.0,0.0,0.0,0.0
370,426,283,117,210,91,7.503875007387251,3.685207979287952,2.5638329971116036,1.886084006400779,1271.7802920087706,353.42929197940975,607.8328749863431,608.7196250155102,336.16762500605546,55.2277920069173,17.261666973354295,918.3510000293609,272.5520000094548,0.0,0.0,0.0,0.0,0.0
371,252,192,70,188,116,7.446375006111339,2.034292003372684,2.6669169892556965,1.3675000227522105,977.5550410267897,376.76104198908433,397.06891600508243,511.36445900192484,361.82233301224187,69.12166601978242,14.938708976842463,600.7939990377054,149.54212598968297,0.0,0.0,0.0,0.0,0.0
377,491,250,120,209,87,8.711792004760355,3.6720420175697654,5.766000016592443,1.9297910039313138,1272.79395898222,360.89958299999125,609.707083000103,603.142415988259,337.7018750179559,59.94445999385789,23.197707982035354,911.8943759822287,265.4405409703031,0.0,0.0,0.0,0.0,0.0
388,302,202,70,255,183,8.222290984122083,3.698834014357999,3.0635420116595924,1.4223750040400773,1162.0584589836653,533.3849159942474,434.6084169810638,652.9172499722335,505.2170419949107,74.532792030368,28.167873999336734,628.6735429894179,147.70020797732286,0.0,0.0,0.0,0.0,0.0
399,302,202,70,230,158,7.600083015859127,3.0997919966466725,2.6555829972494394,2.148917003069073,1128.1195420015138,505.0225419981871,416.40108401770703,642.8099170152564,474.3489579996094,68.90854096855037,30.67358399857767,623.0970000033267,168.46095901564695,0.0,0.0,0.0,0.0,0.0
401,512,264,128,228,98,7.395749998977408,2.3383749939966947,2.460541989421472,2.315791993169114,1417.6884580228943,386.08783300151117,675.190708017908,674.0361669799313,358.66037500090897,68.461583025055,27.4274580006022,1031.6006250213832,315.3757919790223,0.0,0.0,0.0,0.0,0.0
